product,url
AY685_WY7944,/data/v1/CA/products/full/AY685/c/shops/reimagined/shirts_tops
AY683_PT0035,/data/v1/CA/products/full/AY683/c/shops/reimagined/shirts_tops
AY672_YD0022,/data/v1/CA/products/full/AY672/c/shops/linen_shop/womens
AY694_DM5474,/data/v1/CA/products/full/AY694/c/womens_category/shirts_tops
AY915_YD0039,/data/v1/CA/products/full/AY915/c/shops/reimagined/dresses_jumpsuits
AY627_BL6855,/data/v1/CA/products/full/AY627/c/shops/reimagined/dresses_jumpsuits
AY837_PP2208,/data/v1/CA/products/full/AY837/c/shops/summer_deals/dresses
AY681_WT0002,/data/v1/CA/products/full/AY681/c/shops/reimagined/shirts_tops
AW215_DM5247,/data/v1/CA/products/full/AW215/c/shops/reimagined/shirts_tops
AX321_BK0001,/data/v1/CA/products/full/AX321/c/womens_category/dressesandjumpsuits
AW540_WY4960,/data/v1/CA/products/full/AW540/c/womens_category/30_off_select_sale/clothing
AW435_BK0001,/data/v1/CA/products/full/AW435/c/womens_category/30_off_select_sale/clothing
AX751_WQ9541,/data/v1/CA/products/full/AX751/c/womens_category/shirts_tops
AX182_WT0002,/data/v1/CA/products/full/AX182/c/shops/reimagined/shirts_tops
AY331_DM5489,/data/v1/CA/products/full/AY331/c/womens_category/shirts_tops
AW209_DM5226,/data/v1/CA/products/full/AW209/c/shops/reimagined/shirts_tops
AW714_WY4976,/data/v1/CA/products/full/AW714/c/shops/reimagined/shirts_tops
AW700_BL8227,/data/v1/CA/products/full/AW700/c/shops/linen_shop/womens
AW564_GR5905,/data/v1/CA/products/full/AW564/c/womens_category/30_off_select_sale/clothing
AW251_WP3135,/data/v1/CA/products/full/AW251/c/shops/reimagined/shirts_tops
AW255_WQ9473,/data/v1/CA/products/full/AW255/c/shops/summer_deals/shirtstops
AW222_WY5552,/data/v1/CA/products/full/AW222/c/womens_category/30_off_select_sale/clothing
AX181_WP3949,/data/v1/CA/products/full/AX181/c/shops/reimagined/shirts_tops
BB567_BL6491,/data/v1/CA/products/full/BB567/c/womens_category/jewelry/demifine
BB571_EC7246,/data/v1/CA/products/full/BB571/c/womens_category/jewelry/demifine
BB572_EC7246,/data/v1/CA/products/full/BB572/c/womens_category/jewelry/demifine
BB576_EC7246,/data/v1/CA/products/full/BB576/c/womens_category/jewelry/demifine
BB574_EC7246,/data/v1/CA/products/full/BB574/c/womens_category/jewelry/demifine
BB573_EC7246,/data/v1/CA/products/full/BB573/c/womens_category/jewelry/demifine
BB575_EC7246,/data/v1/CA/products/full/BB575/c/womens_category/jewelry/demifine
BB570_EC7246,/data/v1/CA/products/full/BB570/c/womens_category/jewelry/demifine
BB568_EC7253,/data/v1/CA/products/full/BB568/c/womens_category/jewelry/demifine
BB453_BL6733,/data/v1/CA/products/full/BB453/c/womens_category/swimwear
BB107_EE0859,/data/v1/CA/products/full/BB107/c/womens_category/socksandtights/bootsocks
BB385_BL7755,/data/v1/CA/products/full/BB385/c/womens_category/jewelry/acetate
AY422_YD0056,/data/v1/CA/products/full/AY422/c/womens_category/pajamas/nightgowns
AX985_PT0025,/data/v1/CA/products/full/AX985/c/shops/reimagined/swimwear
AY039_WY6506,/data/v1/CA/products/full/AY039/c/womens_category/swimwear
AY397_WT0002,/data/v1/CA/products/full/AY397/c/shops/reimagined/dresses_jumpsuits
AZ241_GY6469,/data/v1/CA/products/full/AZ241/c/shops/reimagined/sweaters
BA056_PT0006,/data/v1/CA/products/full/BA056/c/womens_category/hair/headbands
AY451_YD0063,/data/v1/CA/products/full/AY451/c/shops/reimagined/tshirtstanktops
AZ055_EB7673,/data/v1/CA/products/full/AZ055/c/shops/reimagined/jewelry
AY073_YD0024,/data/v1/CA/products/full/AY073/c/shops/bundles/w_knits
AX945_WY4144,/data/v1/CA/products/full/AX945/c/womens_category/swimwear
AY380_PT0025,/data/v1/CA/products/full/AY380/c/shops/reimagined/shirts_tops
AX984_PT0025,/data/v1/CA/products/full/AX984/c/shops/reimagined/swimwear
AZ065_YL5433,/data/v1/CA/products/full/AZ065/c/womens_category/jewelry/metals
AZ061_EG6978,/data/v1/CA/products/full/AZ061/c/womens_category/jewelry/metals
AY932_GR6305,/data/v1/CA/products/full/AY932/c/shops/reimagined/shirts_tops
AZ650_GR6712,/data/v1/CA/products/full/AZ650/c/shops/reimagined/pants
AY388_WQ9876,/data/v1/CA/products/full/AY388/c/womens_category/swimwear
AY391_WQ9876,/data/v1/CA/products/full/AY391/c/womens_category/swimwear
BA064_PT0003,/data/v1/CA/products/full/BA064/c/shops/reimagined/accessories
AX947_WY4144,/data/v1/CA/products/full/AX947/c/womens_category/swimwear
AY385_PT0033,/data/v1/CA/products/full/AY385/c/womens_category/swimwear
AY450_NA6445,/data/v1/CA/products/full/AY450/c/shops/reimagined/tshirtstanktops
AY036_WY6506,/data/v1/CA/products/full/AY036/c/womens_category/swimwear
AY924_YD0017,/data/v1/CA/products/full/AY924/c/womens_category/skirts/aline
AY931_DM5496,/data/v1/CA/products/full/AY931/c/shops/reimagined/dresses_jumpsuits
AY421_PT0013,/data/v1/CA/products/full/AY421/c/womens_category/pajamas/nightgowns
BA043_BL6491,/data/v1/CA/products/full/BA043/c/womens_category/hair/scrunchies_hairties
AZ217_SU7143,/data/v1/CA/products/full/AZ217/c/shops/reimagined/sweaters
AY544_PK5084,/data/v1/CA/products/full/AY544/c/womens_category/shoes/flats
AY707_GR6712,/data/v1/CA/products/full/AY707/c/shops/reimagined/blazers
AY389_WQ9876,/data/v1/CA/products/full/AY389/c/womens_category/swimwear
AZ064_EC7253,/data/v1/CA/products/full/AZ064/c/womens_category/jewelry/metals
AY386_PT0033,/data/v1/CA/products/full/AY386/c/womens_category/swimwear
AZ063_EC7253,/data/v1/CA/products/full/AZ063/c/womens_category/jewelry/metals
AY383_PT0033,/data/v1/CA/products/full/AY383/c/womens_category/swimwear
AZ242_GY6469,/data/v1/CA/products/full/AZ242/c/shops/reimagined/sweaters
AZ060_GY6372,/data/v1/CA/products/full/AZ060/c/womens_category/jewelry/metals
AY066_NA6445,/data/v1/CA/products/full/AY066/c/shops/bundles/w_knits
AY065_YD0024,/data/v1/CA/products/full/AY065/c/shops/bundles/w_knits
AY407_PT0003,/data/v1/CA/products/full/AY407/c/shops/reimagined/dresses_jumpsuits
AY040_WY6506,/data/v1/CA/products/full/AY040/c/womens_category/swimwear
AY930_NA6434,/data/v1/CA/products/full/AY930/c/womens_category/skirts/midi
AY369_YD0041,/data/v1/CA/products/full/AY369/c/shops/reimagined/pajamas
